1, 3.39828
2, 3.41242
3, 1.86530
4, 1.27839
5, 0.99354
6, 0.81691
7, 0.69639
8, 0.60773
9, 0.54611
10, 0.49822
11, 0.45918
12, 0.42535
13, 0.39405
14, 0.37204
15, 0.35736
16, 0.33240
17, 0.32492
18, 0.31405
19, 0.30392
20, 0.29388
21, 0.28279
22, 0.28385
23, 0.27585
24, 0.27578
25, 0.26688
26, 0.26960
27, 0.27425
28, 0.29770
29, 0.25810
30, 0.25728
31, 0.26862
32, 0.26427
33, 0.26706
34, 0.29313
35, 0.27779
36, 0.28851
37, 0.29228
38, 0.29006
39, 0.28939
40, 0.29731
41, 0.29564
42, 0.30088
43, 0.30319
44, 0.30877
45, 0.31098
46, 0.31996
47, 0.31899
48, 0.33144
49, 0.32512
50, 0.33458
51, 0.32254
52, 0.33539
53, 0.33121
54, 0.33753
55, 0.33267
56, 0.34543
57, 0.34563
58, 0.35173
59, 0.34715
60, 0.35366
61, 0.36713
62, 0.35633
63, 0.37054
64, 0.36685
65, 0.37388
66, 0.37068
67, 0.36742
68, 0.37654
69, 0.38235
70, 0.36474
71, 0.38168
72, 0.38381
73, 0.38648
74, 0.38865
75, 0.39369
76, 0.39628
77, 0.39677
78, 0.39488
79, 0.40556
80, 0.40535
81, 0.40393
82, 0.41069
83, 0.40108
84, 0.41316
85, 0.41754
86, 0.42867
87, 0.41005
88, 0.42971
89, 0.41541
90, 0.43456
91, 0.43986
92, 0.43244
93, 0.43383
94, 0.43779
95, 0.44522
96, 0.45222
97, 0.44596
98, 0.45384
99, 0.43987
100, 0.44936
